"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Kisvárda FC","Hungary",0.75,"out",5.875,12.8,":hu:","Hungary: 5.875 points","Várkerti Stadion",48.23261,22.0723783
"Konyaspor","Turkey",0.5,"out",8.4,6,":tr:","Turkey: 8.4 points","Konya Atatürk Stadium",37.865389,32.483278
"KR Reykjavik","Iceland",0.333,"out",3,11.1,":is:","Iceland: 3 points","KR-völlur",64.145683,-21.967728
"KuPS Kuopio","Finland",0.75,"out",2.625,28.6,":fi:","Finland: 2.625 points","Kehrweg Stadion",50.626389,6.045833
"La Fiorita","San Marino",0,"out",0.833,0,":sm:","San Marino: 0.833 points","Stadio Olimpico",43.97125,12.476972
"Larne FC","Northern Ireland",0.125,"out",1.25,10,":gb-nir:","Northern Ireland: 1.25 points","Inver Park",54.84980278,-5.82625833
"Lazio","Italy",0.857,"not out",11.071,7.7,":it:","Italy: 11.071 points","Stadio Olimpico",41.933872,12.454714
"Lech Poznan","Poland",2.5,"not out",4.75,52.6,":pl:","Poland: 4.75 points","Stadion Miejski",52.397222,16.858056
"Lechia Gdansk","Poland",0.625,"out",4.75,13.2,":pl:","Poland: 4.75 points","Stadion Energa Gdansk",54.39,18.640278
"Levadia Tallinn","Estonia",0.167,"out",1.167,14.3,":ee:","Estonia: 1.167 points","Kadriorg Stadium",59.434472222,24.783444444
"Levski Sofia","Bulgaria",0.625,"out",4,15.6,":bg:","Bulgaria: 4 points","Georgi Asparuhov Stadium",42.705467,23.363197
"Lillestrøm SK","Norway",0.5,"out",5.5,9.1,":no:","Norway: 5.5 points","Åråsen Stadion",59.962752,11.063458
"Lincoln Red Imps","Gibraltar",0.25,"out",0.875,28.6,":gi:","Gibraltar: 0.875 points","Victoria Stadium",36.149356,-5.350342
"Linfield Belfast","Northern Ireland",0.75,"out",1.25,60,":gb-nir:","Northern Ireland: 1.25 points","Windsor Park",54.5825,-5.955
"Liverpool","England",2.714,"not out",15.286,17.8,":gb-eng:","England: 15.286 points","Anfield",53.430833333,-2.960833333
"Ludogorets Razgrad","Bulgaria",2.375,"not out",4,59.4,":bg:","Bulgaria: 4 points","Ludogorets Arena",43.53361111,26.5275
"Maccabi Haifa","Israel",2.5,"out",5.75,43.5,":il:","Israel: 5.75 points","Sammy Ofer Stadium",32.783111111,34.965166666
"Maccabi Netanya","Israel",0.125,"out",5.75,2.2,":il:","Israel: 5.75 points","Netanya Stadium",32.294397,34.864433
"Maccabi Tel-Aviv","Israel",0.875,"out",5.75,15.2,":il:","Israel: 5.75 points","Bloomfield Stadium",32.05173,34.76148
"Makedonija GjP","North Macedonia",0.125,"out",1.625,7.7,":mk:","North Macedonia: 1.625 points","<U+01F4>orce Petrov Stadium",42.00222222,21.36
"Malmö FF","Sweden",1.25,"not out",5.75,21.7,":se:","Sweden: 5.75 points","Swedbank Stadion",55.583611111,12.987777777
"Manchester City","England",2.714,"not out",15.286,17.8,":gb-eng:","England: 15.286 points","City of Manchester Stadium",53.483055555,-2.200277777
"Manchester United","England",1.429,"not out",15.286,9.3,":gb-eng:","England: 15.286 points","Old Trafford",53.463055555,-2.291388888
"MFK Ruzomberok","Slovakia",0.375,"out",4.5,8.3,":sk:","Slovakia: 4.5 points","Štadión MFK Ružomberok",49.0825,19.28388889
"Milsami Orhei","Moldova",0.5,"out",2.75,18.2,":md:","Moldova: 2.75 points","CSR Orhei",47.3744,28.8192
"Molde FK","Norway",2.25,"not out",5.5,40.9,":no:","Norway: 5.5 points","Aker Stadion",62.73341,7.14813
"Motherwell","Scotland",0,"out",3.5,0,":gb-sct:","Scotland: 3.5 points","Fir Park",55.779947,-3.980078
"Mura Murska Sobota","Slovenia",0.75,"out",2.125,35.3,":si:","Slovenia: 2.125 points","Fazanerija City Stadium",46.668611,16.1575
"Napoli","Italy",2.714,"not out",11.071,24.5,":it:","Italy: 11.071 points","Stadio Diego Armando Maradona",40.827967,14.193008
"Neftchi Baku","Azerbaijan",0.5,"out",3.25,15.4,":az:","Azerbaijan: 3.25 points","Bakcell Arena",40.400163,49.944019
