"","club","clubLabel","venue","venueLabel","coordinates","breitengrad","laengengrad"
"137","http://www.wikidata.org/entity/Q94718","Sulaymaniya FC","http://www.wikidata.org/entity/Q3389462","Sulaymaniyah Stadium","45.4289 35.5498","35.5498","45.4289"
"138","http://www.wikidata.org/entity/Q94605","FK Spartak Subotica","http://www.wikidata.org/entity/Q3435895","Subotica City Stadium","19.676958 46.081781","46.081781","19.676958"
"139","http://www.wikidata.org/entity/Q74030","Football Bourg-en-Bresse Péronnas 01","http://www.wikidata.org/entity/Q3495731","Stade Marcel-Verchère","5.237222 46.21","46.21","5.237222"
"140","http://www.wikidata.org/entity/Q94008","Impuls FC Dilijan","http://www.wikidata.org/entity/Q3655988","Dilijan City Stadium","44.856388888 40.736944444","40.736944444","44.856388888"
"141","http://www.wikidata.org/entity/Q98921","Ipatinga Futebol Clube","http://www.wikidata.org/entity/Q4788929","Arena do Jacaré","-44.222022 -19.478794","-19.478794","-44.222022"
"142","http://www.wikidata.org/entity/Q60695","Besa Kavajë","http://www.wikidata.org/entity/Q4896162","Besa Stadium","19.553247 41.188558","41.188558","19.553247"
"143","http://www.wikidata.org/entity/Q80921","Club Atlético San Martín de San Juan","http://www.wikidata.org/entity/Q5400254","Estadio Ingeniero Hilario Sánchez","-68.530289 -31.519847","-31.519847","-68.530289"
"144","http://www.wikidata.org/entity/Q72521","Johor Darul Takzim F.C.","http://www.wikidata.org/entity/Q5929782","Tan Sri Dato Haji Hassan Yunos Stadium","103.751372222 1.497575","1.497575","103.751372222"
"145","http://www.wikidata.org/entity/Q60701","KF Laçi","http://www.wikidata.org/entity/Q6506220","Laçi Stadium","19.711672 41.64248","41.64248","19.711672"
"146","http://www.wikidata.org/entity/Q125330","Bontang FC","http://www.wikidata.org/entity/Q6933774","Mulawarman Stadium","117.461239 0.143111","0.143111","117.461239"
"147","http://www.wikidata.org/entity/Q59645","FC Ryukyu","http://www.wikidata.org/entity/Q7082016","Okinawa Athletic Stadium","127.820993 26.308612","26.308612","127.820993"
"148","http://www.wikidata.org/entity/Q112864","North East Stars","http://www.wikidata.org/entity/Q7418109","Sangre Grande Regional Complex","-61.13074167 10.59919722","10.59919722","-61.13074167"
"149","http://www.wikidata.org/entity/Q111516","Phoenix Rising FC","http://www.wikidata.org/entity/Q7438198","Scottsdale Stadium","-111.921111 33.488333","33.488333","-111.921111"
"150","http://www.wikidata.org/entity/Q120064","Luftëtari Gjirokastër","http://www.wikidata.org/entity/Q7631296","Subi Bakiri Stadium","20.1381 40.0812","40.0812","20.1381"
"151","http://www.wikidata.org/entity/Q73708","FK Kukësi","http://www.wikidata.org/entity/Q8069354","Zeqir Ymeri Stadium","20.7003 42.1422","42.1422","20.7003"
"152","http://www.wikidata.org/entity/Q111516","Phoenix Rising FC","http://www.wikidata.org/entity/Q12065608","Peoria Sports Complex","-112.2332 33.6319","33.6319","-112.2332"
